donation_amount,donation_dummy,control,treatment,match_ratio,ratio1,ratio2,ratio3,red_state_dummy,months_since_last_donation,highest_previous_donation,prior_donations_num
0,0,0,1,1,1,0,0,0,19,25,23
0,0,0,1,1,1,0,0,1,35,55,51
0,0,0,1,2,0,1,0,0,2,50,29
0,0,0,1,1,1,0,0,0,5,150,19
0,0,0,1,1,1,0,0,0,5,50,15
0,0,0,1,1,1,0,0,0,8,60,16
0,0,0,1,3,0,0,1,0,13,300,22
0,0,0,1,3,0,0,1,0,8,100,8
0,0,0,1,1,1,0,0,0,7,50,18
0,0,0,1,2,0,1,0,0,3,50,25
0,0,0,1,2,0,1,0,0,7,45,21
0,0,0,1,1,1,0,0,0,5,149,33
0,0,0,1,2,0,1,0,0,10,100,49
0,0,0,1,3,0,0,1,0,6,55,23
0,0,0,1,3,0,0,1,0,4,100,31
0,0,1,0,0,0,0,0,1,2,250,35
0,0,0,1,2,0,1,0,1,43,35,22
0,0,1,0,0,0,0,0,0,10,50,14
0,0,0,1,2,0,1,0,0,3,105,60
0,0,0,1,2,0,1,0,0,6,40,18
0,0,0,1,3,0,0,1,0,7,50,18
0,0,0,1,2,0,1,0,0,1,50,74
0,0,0,1,3,0,0,1,1,2,50,23
0,0,1,0,0,0,0,0,0,7,25,20
0,0,1,0,0,0,0,0,0,7,50,29
0,0,1,0,0,0,0,0,1,30,65,12
0,0,0,1,2,0,1,0,0,13,40,36
0,0,1,0,0,0,0,0,0,4,55,62
0,0,1,0,0,0,0,0,0,32,100,17
0,0,1,0,0,0,0,0,0,1,50,36
0,0,0,1,3,0,0,1,0,6,55,26
0,0,1,0,0,0,0,0,0,1,100,79
0,0,1,0,0,0,0,0,0,9,100,23
0,0,1,0,0,0,0,0,0,20,35,9
0,0,0,1,2,0,1,0,1,31,35,17
0,0,0,1,3,0,0,1,0,7,95,33
0,0,0,1,3,0,0,1,0,5,35,21
0,0,0,1,3,0,0,1,0,17,250,24
0,0,1,0,0,0,0,0,1,5,100,21
0,0,0,1,1,1,0,0,0,42,315,14
0,0,0,1,1,1,0,0,0,8,40,1
0,0,0,1,2,0,1,0,0,6,75,19
0,0,1,0,0,0,0,0,0,5,85,19
0,0,0,1,2,0,1,0,0,8,100,36
0,0,0,1,3,0,0,1,1,1,55,44
0,0,0,1,2,0,1,0,1,2,50,7
0,0,1,0,0,0,0,0,1,3,50,31
0,0,1,0,0,0,0,0,0,27,100,40
0,0,0,1,2,0,1,0,0,8,20,19
0,0,0,1,2,0,1,0,0,6,65,27
0,0,0,1,2,0,1,0,0,8,35,18
0,0,0,1,3,0,0,1,0,9,300,26
0,0,0,1,1,1,0,0,0,8,65,19
0,0,0,1,2,0,1,0,0,4,100,53
0,0,0,1,1,1,0,0,0,16,40,19
0,0,0,1,3,0,0,1,0,12,1000,13
0,0,1,0,0,0,0,0,0,5,200,35
0,0,1,0,0,0,0,0,1,2,50,46
0,0,1,0,0,0,0,0,0,16,35,21
0,0,1,0,0,0,0,0,0,0,95,26
0,0,0,1,2,0,1,0,0,37,50,8
0,0,0,1,2,0,1,0,0,2,60,45
0,0,0,1,2,0,1,0,0,13,50,15
0,0,0,1,1,1,0,0,0,11,100,19
0,0,1,0,0,0,0,0,0,12,50,22
0,0,0,1,3,0,0,1,0,43,100,31
0,0,0,1,2,0,1,0,0,39,30,21
0,0,1,0,0,0,0,0,0,2,20,19
0,0,0,1,2,0,1,0,1,4,300,26
0,0,0,1,2,0,1,0,0,3,50,15
0,0,0,1,3,0,0,1,0,31,25,89
0,0,0,1,3,0,0,1,0,4,85,22
20,1,0,1,1,1,0,0,0,19,30,36
0,0,0,1,3,0,0,1,0,21,35,25
0,0,1,0,0,0,0,0,0,8,10,5
25,1,0,1,1,1,0,0,0,1,100,92
0,0,0,1,2,0,1,0,0,5,45,24
0,0,0,1,1,1,0,0,0,6,45,29
0,0,0,1,3,0,0,1,0,33,400,27
0,0,0,1,2,0,1,0,0,7,50,9
0,0,1,0,0,0,0,0,0,2,150,35
0,0,1,0,0,0,0,0,0,8,35,26
0,0,1,0,0,0,0,0,0,16,300,36
0,0,0,1,3,0,0,1,0,3,100,36
